Date,Close,High,Low,Open,Volume
2002-02-27,17.98312,18.23155,17.56908,17.88651,101030821
2002-02-28,16.99495,18.18186,16.84038,18.04109,83680802
2002-03-01,17.79266,17.92515,16.85141,17.00322,63239227
2002-03-04,17.31514,18.7698,17.22405,18.43857,158828803
2002-03-05,17.32066,17.63257,17.22957,17.61048,61248668
2002-03-06,16.9839,17.7485,16.9149,17.00323,46666285
2002-03-07,17.18541,17.24613,16.9287,17.11364,30686653
2002-03-08,16.94526,17.36206,16.87349,17.21853,25543031
2002-03-11,16.47602,17.08328,16.39873,17.08328,55717669
2002-03-12,16.13374,16.53122,16.09234,16.50086,36594497
2002-03-13,16.21103,16.4843,16.11995,16.17515,38789212
2002-03-14,16.42357,16.47326,16.24691,16.39873,22150267
2002-03-15,17.00599,17.08328,16.46498,16.46498,58963177
2002-03-18,16.93146,17.26821,16.84313,17.15228,28846110
2002-03-19,16.53951,16.98667,16.46498,16.94802,22878230
2002-03-20,16.76861,16.82934,16.47878,16.6168,33074349
2002-03-21,16.75756,16.81829,16.62231,16.672,16132181
2002-03-22,16.77137,16.81553,16.40149,16.55607,26800906
2002-03-25,16.77137,16.77137,16.77137,16.77137,0
2002-03-26,16.56159,16.6996,16.49535,16.69408,17638257
2002-03-27,16.5671,16.74928,16.27728,16.72168,32848472
2002-03-28,16.57814,16.741,16.42633,16.61679,42148435
2002-03-29,16.57814,16.57814,16.57814,16.57814,0
2002-04-01,16.68027,17.01979,16.52294,16.65267,35258574
2002-04-02,16.75756,16.79621,16.58919,16.58919,21033737
2002-04-03,16.50362,16.75205,16.42633,16.75205,14761709
2002-04-04,16.85693,17.66017,16.58918,16.58918,138320973
2002-04-05,16.87626,17.16885,16.83761,16.90662,46535736
2002-04-08,16.7272,17.01427,16.67475,16.96182,24111052
2002-04-09,16.56986,16.79069,16.51742,16.7548,19790832
2002-04-10,16.35457,16.68304,16.25244,16.56159,37386600
2002-04-11,16.37113,16.58643,16.30212,16.45945,11311359
2002-04-12,16.46498,16.55055,16.31592,16.38769,14316453
2002-04-15,16.2552,16.5533,16.19447,16.45117,9075948
2002-04-16,15.95709,16.30488,15.86324,16.23035,21118198
2002-04-17,16.0123,16.14203,15.93501,16.11167,13138234
2002-04-18,16.13927,16.32696,16.06474,16.11995,27042174
2002-04-19,15.71694,16.50638,15.58169,16.1503,26920238
2002-04-22,15.85771,15.97917,15.47128,15.7335,24606472
2002-04-23,16.07578,16.26347,15.79699,15.91016,51300609
2002-04-24,15.99021,17.65465,15.95433,16.17515,16814924
2002-04-25,15.84391,16.05921,15.74454,16.03713,23665824
2002-04-26,15.92672,16.05921,15.76663,15.87152,15820877
2002-04-29,15.19802,15.95433,15.05172,15.95433,66095201
2002-04-30,15.36639,15.44091,15.1014,15.18145,23646232
2002-05-01,15.36639,15.36639,15.36639,15.36639,0
2002-05-02,15.69762,15.78871,15.54029,15.67554,18346250
2002-05-03,15.89084,16.00677,15.71694,15.7335,24265829
2002-05-06,15.99297,16.06474,15.8798,15.90188,19012565
2002-05-07,16.18343,16.24692,15.8522,15.95433,16862118
2002-05-08,16.00677,16.30764,15.93225,16.23035,24711295
2002-05-09,16.08958,16.27176,15.96813,16.14755,16979041
2002-05-10,15.90188,16.1365,15.73902,16.09786,18418596
2002-05-13,15.78871,16.00953,15.75007,16.00953,11945493
2002-05-14,15.66174,15.9488,15.62309,15.88808,12623769
2002-05-15,15.61758,15.84392,15.46852,15.71695,15197303
2002-05-16,15.34155,15.69486,15.18973,15.6783,18686347
2002-05-17,15.50164,15.86876,15.21458,15.40227,40395769
2002-05-20,15.2477,15.99849,15.04344,15.99297,34081238
2002-05-21,14.47759,15.09036,13.72403,15.04896,79381407
2002-05-22,14.28437,14.49139,14.07735,14.43342,29677090
2002-05-23,14.0249,14.34233,13.83997,14.24297,28533504
2002-05-24,14.93855,15.12625,14.36994,14.36994,44689282
2002-05-27,14.86954,15.16489,14.63492,15.16489,25100939
2002-05-28,14.35337,14.78397,14.24848,14.78397,33161820
2002-05-29,14.64596,15.18145,14.20156,15.18145,24699489
2002-05-30,14.43342,14.8861,14.37269,14.37269,30406943
2002-05-31,14.54659,14.68461,14.11599,14.51347,30189483
2002-06-03,14.92475,15.01308,14.47483,14.77017,37182360
2002-06-04,15.07104,15.17593,14.80054,14.93303,29704678
2002-06-05,15.14833,15.31946,15.01584,15.07104,26497907
2002-06-06,15.19525,15.29186,14.92751,15.18145,25395900
2002-06-07,15.16765,15.2339,14.97444,15.12625,22927609
2002-06-10,15.67278,15.73351,15.29739,15.29739,26647796
2002-06-11,15.96537,16.08682,15.8246,15.89912,31196526
2002-06-12,15.80527,15.92396,15.70038,15.92396,15428095
2002-06-13,15.70866,15.95157,15.6783,15.84392,11627649
2002-06-14,15.55961,15.6783,15.42436,15.67278,18098386
2002-06-17,15.72799,15.78319,15.59549,15.78319,11055527
2002-06-18,15.64242,15.95433,15.58445,15.78871,11623742
2002-06-19,15.82459,15.94328,15.39951,15.62309,34474440
2002-06-20,15.81907,15.91568,15.64518,15.83839,17168227
2002-06-21,15.67278,15.84392,15.56513,15.84392,11569671
2002-06-24,15.66726,15.7335,15.52096,15.7335,10577837
2002-06-25,15.06,15.54581,14.79501,15.29186,142002298
2002-06-26,14.74257,14.98271,14.6294,14.90542,43979035
2002-06-27,15.00204,15.0876,14.68737,14.87782,40186683
2002-06-28,14.8723,15.01584,14.77017,15.01584,25290083
2002-07-01,14.99928,15.12625,14.82538,14.90819,12190220
2002-07-02,14.74533,15.01308,14.70393,14.96615,13464775
2002-07-03,14.8033,15.07104,14.69013,14.73981,33192882
2002-07-04,14.73981,14.95787,14.71221,14.85022,14491018
2002-07-05,14.53555,14.83918,14.47759,14.79502,29980061
2002-07-08,15.00756,15.11521,14.35338,14.35338,64437136
2002-07-09,15.28634,15.38019,14.91095,15.0186,51260501
2002-07-10,15.31118,15.39951,15.12624,15.12624,38031783
2002-07-11,14.66528,15.26978,14.61284,15.23665,35976076
2002-07-12,14.64596,14.86954,14.59352,14.82262,21813909
2002-07-15,14.67632,14.73981,14.35337,14.73981,14793471
2002-07-16,14.23744,14.75637,14.13807,14.68461,31603760
2002-07-17,14.01662,14.27056,13.90069,14.20156,52119237
2002-07-18,14.31749,14.37545,14.03042,14.07734,24984143
2002-07-19,14.34233,14.48311,14.13255,14.13255,31751913
2002-07-22,14.17671,14.23744,14.02214,14.18776,19612164
2002-07-23,14.17396,14.34233,13.95038,14.05527,32536594
2002-07-24,13.88689,14.18224,13.80684,14.16016,30787149
2002-07-25,13.90069,14.33405,13.80408,14.07735,84576776
2002-07-26,13.54738,13.90621,13.46457,13.90621,40847663
2002-07-29,13.67711,13.83168,13.18302,13.50045,60666477
2002-07-30,13.62466,13.9559,13.54186,13.87861,43537882
2002-07-31,13.48941,13.67711,13.30723,13.52253,47786651
2002-08-01,13.52805,13.74611,13.40108,13.6081,27319742
2002-08-02,13.4066,13.49769,13.19682,13.3652,27827682
2002-08-05,13.46733,13.55842,13.34864,13.52529,30377086
2002-08-06,13.33484,13.46733,13.28239,13.41489,23542179
2002-08-07,13.31828,13.62742,13.23271,13.47009,34574487
2002-08-08,12.87111,13.39832,12.77174,13.34588,51285484
2002-08-09,12.95392,13.00913,12.67513,12.92356,47182515
2002-08-12,13.30171,13.43144,12.9346,13.12505,62182944
2002-08-13,13.39004,13.47009,13.32104,13.38728,21763829
2002-08-14,13.16922,13.44249,13.14714,13.3652,33857699
2002-08-15,13.16922,13.16922,13.16922,13.16922,0
2002-08-16,13.40384,13.46456,13.26583,13.30447,27666323
2002-08-19,13.53909,13.61914,13.47561,13.47561,28777811
2002-08-20,13.74059,13.82892,13.54738,13.6081,45786682
2002-08-21,13.53634,13.85929,13.51425,13.74888,27886990
2002-08-22,13.67159,13.7682,13.5805,13.63571,25102704
2002-08-23,13.78752,13.82616,13.61362,13.7958,19770288
2002-08-26,13.85377,13.9559,13.75716,13.80408,23081504
2002-08-27,13.61362,14.35337,13.5805,14.35337,18730054
2002-08-28,13.56394,13.6357,13.48113,13.5529,13400495
2002-08-29,13.77924,13.80132,13.50322,13.5253,28821799
2002-08-30,14.10495,14.15463,13.74611,13.83996,47353033
2002-09-02,14.6432,14.79502,14.35337,14.35337,57789944
2002-09-03,14.59076,14.73429,14.4141,14.70669,30057968
2002-09-04,14.86678,14.95787,14.40858,14.46378,69110182
2002-09-05,14.68184,14.95235,14.6294,14.90542,29739969
2002-09-06,14.66528,14.81709,14.53279,14.6846,35214586
2002-09-09,14.40582,14.68461,14.22916,14.62388,34598449
2002-09-10,14.40582,14.40582,14.40582,14.40582,0
2002-09-11,14.20984,14.46931,14.16016,14.40858,28936173
2002-09-12,14.38097,14.55487,14.21536,14.23192,39028575
2002-09-13,14.29817,14.62664,14.2264,14.41686,51848098
2002-09-16,14.24572,14.41962,14.18776,14.35337,29624055
2002-09-17,14.4417,14.51623,14.25676,14.25676,18710406
2002-09-18,14.27885,14.45274,14.24296,14.35337,17194639
2002-09-19,14.24848,14.32301,14.10495,14.32301,21151150
2002-09-20,14.10495,14.20984,13.96969,14.07735,24616387
2002-09-23,14.35337,14.46102,14.07735,14.18776,25511899
